T=20直接开始，loss下降失败。
iteration	pre_fit	post_fit
100	16.9503367148	16.3836214168
200	14.5042807149	13.0962603706
300	12.880174772	11.1651621195
400	13.8238379578	11.6588158193
500	12.8916359352	10.1055210783
600	11.7250236609	8.4814571051
700	14.2282396365	10.1382555022
800	13.005146828	9.49373449879
900	11.1661525676	7.71923584213
1000	12.0853266154	8.46430958515
1100	12.5352629992	8.66797108686
1200	11.4988784494	7.84536577489
1300	11.5379149585	7.7375176043
1400	12.6099290443	8.76760770655
1500	11.7127735849	7.98266937241
1600	11.223003512	7.55333824845
1700	11.0796171173	7.3583746373
1800	11.238073771	7.49273160547
1900	11.79252095	7.96831869026
2000	11.3312814752	7.38768803346
2100	11.8873173782	7.73849597601
2200	11.4455644123	7.50573403186
2300	11.4975166813	7.91955014446
2400	11.9614175992	8.0787733042
2500	11.881454104	7.76479454882
2600	11.90671236	8.00153543022
2700	11.9115733762	8.10350541864
2800	11.2078280108	7.15407329632
2900	10.9098790955	6.84768077799
3000	11.067829133	7.30827974575
3100	11.2197872306	7.36325401329
3200	11.5488258688	7.41556754469
3300	10.8711430705	6.92926016341
3400	11.4830118601	7.13266987124
3500	10.8403370146	6.89101939392
3600	11.2417969861	7.08459386965
3700	10.9687805334	7.12548741847
3800	11.0788251723	6.94452912571
3900	12.0996528256	7.74700028017
4000	11.4858090953	7.32259947177
4100	10.8338572205	6.72517083788
4200	11.3355084699	7.0887278986
4300	10.8534715653	7.03944990057
4400	11.4128864892	6.95821433952
4500	11.6892376665	7.41234767413
4600	11.6491459429	7.65088194125
4700	11.1143157545	6.87675578613
4800	11.0210837381	7.00963364213
4900	11.0373288733	6.75924805288
5000	11.4865215601	7.00402019265
5100	11.2158930626	7.02544928098
5200	11.1571672281	6.67816373775
5300	11.6368085319	7.30139550896
5400	11.068632306	6.6906184642
5500	10.8661838645	6.75297191191
5600	11.5163014822	7.38708045604
5700	11.5416850159	7.05593448949
5800	11.0310719509	6.48535785534
5900	11.3369238346	6.83700005728
6000	11.4105030102	7.19266629986
6100	10.606863839	6.46242418773
6200	11.4378175576	7.03723499561
6300	11.2867431364	6.89710199668
6400	12.0493900997	7.46073492681
6500	11.888490672	7.08236468118
6600	11.9051265342	7.46553414057
6700	11.3906021836	6.89657067064
6800	11.4372764346	6.96246399393
6900	11.1761294778	6.5146228234
7000	10.5444534331	6.22550055273
7100	11.0311472358	6.72199759843
7200	11.0449518463	6.87097882325
7300	11.4797478834	7.20793882818
7400	11.7155929684	7.22328494059
7500	11.4590223965	7.19164442557
7600	10.9828493636	6.66502303445
7700	11.3855670118	7.03604719136
7800	11.2247110111	6.59296877008
7900	11.2611948253	6.8013335166
8000	11.9698578966	7.25790514074
8100	11.5904036471	7.02390304215
8200	11.1472723286	6.6855416741
8300	11.6995121121	7.11796986355
8400	11.7108187115	7.01364587637
8500	11.973886088	7.46099286687
8600	12.4109269412	7.71968100494
8700	11.1513665982	6.5577872791
8800	10.5647402982	6.01831928677
8900	11.7299277603	7.13175872015
9000	11.5163105375	6.86010682814
9100	11.6571727202	7.09253158784
9200	11.5105324958	6.9745489083
9300	11.5628803843	7.10414926686
9400	12.9094166578	7.97063409259
9500	11.5912808442	6.69956127784
9600	11.2740319892	6.79227186515
9700	11.2575831024	6.2481607604
9800	11.328729293	6.71334938644
9900	11.6241650509	7.0264635342
10000	11.38275318	6.66393750906
